image,exec,policy,best_arm,best_reward,time,accumulated_reward,step,param,exec,current_arm,current_reward,reward_function,best_reward_function,best_policy
frame_13,1,Thompson Sampling,170,91.27604166666691,0.0574,91.27604166666691,0,blue,1,170,91.27604166666691,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,186,92.26888020833269,0.6081,1006.8684895833323,10,blue,1,190,91.19466145833366,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,186,92.26888020833269,1.1637,1920.1334635416656,20,blue,1,186,92.26888020833269,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,186,92.26888020833269,1.7229,2837.841796874997,30,blue,1,186,92.26888020833269,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,2.2805,3753.9876302083285,40,blue,1,174,91.8294270833342,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,2.8415,4668.310546874992,50,blue,1,166,90.08789062500023,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,3.4037,5582.666015624992,60,blue,1,170,91.27604166666691,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,3.9657,6501.26953124999,70,blue,1,186,92.26888020833269,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,4.5269,7418.45703124999,80,blue,1,170,91.27604166666691,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,182,92.44791666666697,5.0905,8332.145182291653,90,blue,1,162,89.43684895833303,Threshold,Threshold,Thompson Sampling
frame_13,1,Random,172,91.56901041666666,0.0554,91.56901041666666,0,blue,1,172,91.56901041666666,Threshold,Threshold,Random
frame_13,1,Random,180,92.36653645833259,0.6196,1006.2337239583329,10,blue,1,174,91.8294270833342,Threshold,Threshold,Random
frame_13,1,Random,182,92.44791666666697,1.1812,1915.6412760416652,20,blue,1,178,92.20377604166607,Threshold,Threshold,Random
frame_13,1,Random,182,92.44791666666697,1.747,2825.4394531249977,30,blue,1,172,91.56901041666666,Threshold,Threshold,Random
frame_13,1,Random,182,92.44791666666697,2.3025,3736.328124999998,40,blue,1,188,91.63411458333326,Threshold,Threshold,Random
frame_13,1,Random,182,92.44791666666697,2.8602,4649.235026041665,50,blue,1,174,91.8294270833342,Threshold,Threshold,Random
frame_13,1,Random,182,92.44791666666697,3.4217,5557.194010416663,60,blue,1,166,90.08789062500023,Threshold,Threshold,Random
frame_13,1,Random,184,92.48046875000027,3.9834,6474.218749999997,70,blue,1,188,91.63411458333326,Threshold,Threshold,Random
frame_13,1,Random,184,92.48046875000027,4.5483,7389.290364583332,80,blue,1,174,91.8294270833342,Threshold,Threshold,Random
frame_13,1,Random,184,92.48046875000027,5.1132,8297.672526041664,90,blue,1,172,91.56901041666666,Threshold,Threshold,Random
frame_13,1,UCB c=0.5,160,89.16015624999996,0.0574,89.16015624999996,0,blue,1,160,89.16015624999996,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,180,92.36653645833259,0.6197,1000.3743489583327,10,blue,1,180,92.36653645833259,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,1.1827,1915.0065104166656,20,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,1.7471,2833.951822916666,30,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,2.3155,3737.532552083331,40,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,2.8808,4656.477864583331,50,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,3.4508,5560.058593749996,60,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,4.0143,6479.003906249997,70,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,4.5785,7382.584635416662,80,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,184,92.48046875000027,5.1445,8301.529947916662,90,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=1,160,89.16015624999996,0.0568,89.16015624999996,0,blue,1,160,89.16015624999996,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,180,92.36653645833259,0.6233,1000.3743489583327,10,blue,1,180,92.36653645833259,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,184,92.48046875000027,1.1851,1915.0065104166656,20,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,184,92.48046875000027,1.7562,2833.951822916666,30,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,184,92.48046875000027,2.3417,3737.532552083331,40,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,184,92.48046875000027,2.9163,4656.477864583331,50,blue,1,190,91.19466145833366,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,184,92.48046875000027,3.5015,5560.058593749996,60,blue,1,184,92.48046875000027,Threshold,Threshold,UCB c=1
