image,exec,policy,best_arm,best_reward,time,accumulated_reward,step,param,exec,current_arm,current_reward,reward_function,best_reward_function,best_policy
frame_13,1,Thompson Sampling,75,83.77278645833374,0.0384,83.77278645833374,0,green,1,75,83.77278645833374,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,93,86.27929687500036,0.3942,924.755859375006,10,green,1,93,86.27929687500036,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,93,86.27929687500036,0.7497,1765.0065104166772,20,green,1,75,83.77278645833374,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,93,86.27929687500036,1.1059,2601.953125000015,30,green,1,75,83.77278645833374,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,93,86.27929687500036,1.4648,3442.3339843750196,40,green,1,89,84.2610677083333,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,93,86.27929687500036,1.8239,4288.7858072916915,50,green,1,97,86.03515625000058,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,91,87.25585937500058,2.1829,5132.112630208362,60,green,1,67,83.7565104166671,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,91,87.25585937500058,2.5403,5971.761067708366,70,green,1,95,86.2304687500004,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,91,87.25585937500058,2.8978,6818.326822916702,80,green,1,95,86.2304687500004,Threshold,Threshold,Thompson Sampling
frame_13,1,Thompson Sampling,91,87.25585937500058,3.2549,7662.320963541706,90,green,1,67,83.7565104166671,Threshold,Threshold,Thompson Sampling
frame_13,1,Random,77,83.65885416666718,0.0361,83.65885416666718,0,green,1,77,83.65885416666718,Threshold,Threshold,Random
frame_13,1,Random,93,86.27929687500036,0.3918,923.0631510416721,10,green,1,67,83.7565104166671,Threshold,Threshold,Random
frame_13,1,Random,93,86.27929687500036,0.7503,1768.391927083343,20,green,1,93,86.27929687500036,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,1.1087,2614.046223958348,30,green,1,91,87.25585937500058,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,1.4643,3462.093098958353,40,green,1,91,87.25585937500058,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,1.8293,4306.119791666691,50,green,1,99,86.00260416666727,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,2.1838,5155.354817708361,60,green,1,79,83.57747395833393,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,2.5453,6003.776041666695,70,green,1,77,83.65885416666718,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,2.8995,6843.131510416699,80,green,1,65,83.74023437500044,Threshold,Threshold,Random
frame_13,1,Random,91,87.25585937500058,3.2558,7679.703776041703,90,green,1,65,83.74023437500044,Threshold,Threshold,Random
frame_13,1,UCB c=0.5,65,83.74023437500044,0.0361,83.74023437500044,0,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,69,83.7890625000004,0.4041,920.4752604166721,10,green,1,85,83.65885416666718,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,0.7635,1780.3059895833433,20,green,1,95,86.2304687500004,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,1.1229,2623.2259114583476,30,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,1.4844,3472.884114583353,40,green,1,99,86.00260416666727,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,1.8442,4311.083984375024,50,green,1,85,83.65885416666718,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,2.2031,5161.686197916694,60,green,1,87,84.00065104166687,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,2.5615,5998.714192708364,70,green,1,83,83.51236979166731,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,2.9196,6853.271484375035,80,green,1,69,83.7890625000004,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=0.5,91,87.25585937500058,3.2799,7689.957682291705,90,green,1,81,83.44726562500071,Threshold,Threshold,UCB c=0.5
frame_13,1,UCB c=1,65,83.74023437500044,0.0357,83.74023437500044,0,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,69,83.7890625000004,0.3942,920.4752604166721,10,green,1,85,83.65885416666718,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,0.7518,1780.3059895833433,20,green,1,95,86.2304687500004,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,1.1095,2623.2259114583476,30,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,1.4675,3472.884114583353,40,green,1,99,86.00260416666727,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,1.8255,4311.083984375024,50,green,1,85,83.65885416666718,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,2.1855,5161.686197916694,60,green,1,87,84.00065104166687,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,2.5452,5998.714192708364,70,green,1,83,83.51236979166731,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,2.9125,6849.804687500034,80,green,1,71,83.7890625000004,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=1,91,87.25585937500058,3.2707,7689.957682291705,90,green,1,91,87.25585937500058,Threshold,Threshold,UCB c=1
frame_13,1,UCB c=3,65,83.74023437500044,0.0359,83.74023437500044,0,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=3
frame_13,1,UCB c=3,69,83.7890625000004,0.3945,920.4752604166721,10,green,1,85,83.65885416666718,Threshold,Threshold,UCB c=3
frame_13,1,UCB c=3,91,87.25585937500058,0.7513,1780.3059895833433,20,green,1,95,86.2304687500004,Threshold,Threshold,UCB c=3
frame_13,1,UCB c=3,91,87.25585937500058,1.1095,2623.2259114583476,30,green,1,65,83.74023437500044,Threshold,Threshold,UCB c=3
frame_13,1,UCB c=3,91,87.25585937500058,1.4675,3472.884114583353,40,green,1,99,86.00260416666727,Threshold,Threshold,UCB c=3
